Статус,Тип,Размер,Размер (байт),Путь на продакшене (public_html/),Локальный путь
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,5 МБ,5926853,docs/dokumenty/Приложение-4-Положение-о-порядке-оплаты-за-проживание-в-студенческом-общежитии-ГБПОУ-РО-СИТ.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,166 КБ,170398,docs/dokumenty/Приложение-к-Приказу-№-100-а.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1859181,docs/dokumenty/Приложение-к-приказу-№106-Положение-о-Совете-техникума-26.09.2024.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,57 КБ,59068,docs/dokumenty/Приложение-к-приказу-№150-Положение-об-Общем-собрании-работников-и-обучающихся-техникума-24.12.2024.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,99 КБ,102165,docs/dokumenty/Приложение-к-приказу-№150-Положение-об-Общем-собрании-работников-и-обучающихся-техникума-24.12.2024.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,298 КБ,306001,docs/dokumenty/Приложение-№-17-к-приказу-ГБПОУ-РО-«СИТ»-от-25.01.2019г.-№5-а.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,401 КБ,411202,docs/dokumenty/Приложение-№-17-к-приказу-ГБПОУ-РО-«СИТ»-от-25.01.2019г.-№5-а.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,288 КБ,295894,docs/dokumenty/Приложение-№-39-к-приказу-ГБПОУ-РО-«СИТ»-от-25.01.2019г.-№5-а.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,393 КБ,402784,docs/dokumenty/Приложение-№-39-к-приказу-ГБПОУ-РО-«СИТ»-от-25.01.2019г.-№5-а.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,461 КБ,472210,docs/dokumenty/Приложение-№1-к-Приказу-№-131-Положение-об-организации-питания-обучающихся-ГБПОУ-РО-СИТ-30.12.22.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,72 КБ,73766,docs/dokumenty/Приложение-№1-к-приказу-ГБПОУ-РО-СИТ-от-16.02.2026-№20.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,12 МБ,12652364,docs/dokumenty/Приложение-№1-к-приказу-ГБПОУ-РО-СИТ-от-30.08.2024-г.-№-92-а.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1709991,docs/dokumenty/Приложение-№1-к-приказу-от-28.08.2025-№80-Положение-о-мерах-поощрения-студентов-ГБПОУ-РО-СИТ.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,2081638,docs/dokumenty/Приложение-№1-к-приказу-от-29.08.2025-№88-Положение-о-порядке-предоставления-академического-отпуска-обучающимся-техникума.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,455 КБ,466505,docs/dokumenty/Приложение-№2-к-Приказу-ГБПОУ-РО-СИТ-№-131-Положение-о-столовой-30.12.22.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,4 МБ,4623673,docs/dokumenty/Приложение-№2-к-Приказу-№131-от-30.12.2022-Положение-о-столовой.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,31 КБ,32446,docs/dokumenty/Приложение-№2-к-приказу-ГБПОУ-РО-СИТ-от-16.02.2026-№20.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,4 МБ,4791723,docs/dokumenty/Приложение-№2-к-приказу-ГБПОУ-РО-СИТ-от-30.08.2024-г.-№-92-а.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,648 КБ,663831,docs/dokumenty/Приложение-№3-к-Приказу-№131-от-30.12.2022-Ведомость-посещения-студентами-производственной-практики.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1377217,docs/dokumenty/Приложение-№3-к-приказу-от-29.08.2025-№88-Правила-внутреннего-распорядка-для-обучающихся-техникума.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,322 КБ,330368,docs/dokumenty/Приложение-№4-к-Приказу-№131-от-30.12.2022-Справка-организации.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,6 МБ,6630667,docs/dokumenty/Приложение2.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,2 МБ,2182393,docs/dokumenty/Приложение3.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,2 МБ,2182393,docs/dokumenty/Приложение4.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,7 МБ,7497635,docs/dokumenty/Программа-воспитания-на-2022-23-уч.год.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,7 МБ,7484177,docs/dokumenty/Программа-воспитания-на-2022-23-уч.год.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,2 МБ,2788516,docs/dokumenty/Программа-развития-ГБПОУ-РО-СИТ-на-2021-2024-уч.год.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1280419,docs/dokumenty/Программа_деятельности-ГБПОУ-РО-СИТ-на-2021-2024-учебный-год-2020.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,4 МБ,4266354,docs/dokumenty/Рабочая-программа-воспитания-2021-с-эл.подписью.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,4 МБ,4293284,docs/dokumenty/Рабочая-программа-воспитания-2021.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1089854,docs/dokumenty/Рабочая-программа-воспитания-для-профессии-09.02.01-Компьютерные-системы-и-комплексы-2024.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,719 КБ,737055,docs/dokumenty/Рабочая-программа-воспитания-для-профессии-09.02.01-Компьютерные-системы-и-комплексы-2024.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1131930,docs/dokumenty/Рабочая-программа-воспитания-для-профессии-15.01.05-Сварщик-ручной-и-частично-механизированной-сварки-наплавки-2024.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,769 КБ,787646,docs/dokumenty/Рабочая-программа-воспитания-для-профессии-15.01.05-Сварщик-ручной-и-частично-механизированной-сварки-наплавки-2024.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1082611,docs/dokumenty/Рабочая-программа-воспитания-для-профессии-15.01.31-Мастер-контрольно-измерительных-приборов-и-автоматики-2024.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,716 КБ,733589,docs/dokumenty/Рабочая-программа-воспитания-для-профессии-15.01.31-Мастер-контрольно-измерительных-приборов-и-автоматики-2024.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1105665,docs/dokumenty/Рабочая-программа-воспитания-для-профессии-15.02.14-Оснащение-средствами-автоматизации-техпроцессов-и-производств-по-отр.-2024.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,736 КБ,753817,docs/dokumenty/Рабочая-программа-воспитания-для-профессии-15.02.14-Оснащение-средствами-автоматизации-техпроцессов-и-производств-по-отр.-2024.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1109006,docs/dokumenty/Рабочая-программа-воспитания-для-профессии-43.01.09-Повар-кондитер-2024.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,741 КБ,758877,docs/dokumenty/Рабочая-программа-воспитания-для-профессии-43.01.09-Повар-кондитер-2024.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1943028,docs/dokumenty/Рабочая-программа-воспитания-профессии-08.01.07-Мастер-общестроительных-работ-2021.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,1 МБ,1889646,docs/dokumenty/Рабочая-программа-воспитания-профессии-08.01.07-Мастер-общестроительных-работ-2021.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,2 МБ,2271003,docs/dokumenty/Рабочая-программа-воспитания-профессии-09.02.01-Компьтерные-системы-и-комплексы-2021.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,2 МБ,2222066,docs/dokumenty/Рабочая-программа-воспитания-профессии-09.02.01-Компьтерные-системы-и-комплексы-2021.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,2 МБ,2116960,docs/dokumenty/Рабочая-программа-воспитания-профессии-13.01.10-Электромонтер-по-ремонту-и-обслуживанию-электрооборудования-2021.pdf,
